"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99645,-0.017263,-0.00077977,0.32,-0.33672,0.5
0.99636,-0.017512,-0.00077061,0.32,-0.33306,0.5
0.99628,-0.017761,-0.00076146,0.32,-0.3294,0.5
0.99619,-0.01801,-0.0007523,0.32,-0.32574,0.5
0.99611,-0.018259,-0.00074315,0.32,-0.32208,0.5
0.99602,-0.018507,-0.00073399,0.32,-0.31842,0.5
0.99594,-0.018756,-0.00072483,0.32,-0.31476,0.5
0.99591,-0.018953,-0.00071797,0.32,-0.3111,0.5
0.99589,-0.019147,-0.00071126,0.32,-0.30744,0.5
0.99587,-0.01934,-0.00070454,0.32,-0.30378,0.5
0.99585,-0.019533,-0.00069783,0.32,-0.30012,0.5
0.99583,-0.019727,-0.00069112,0.32,-0.29646,0.5
0.99581,-0.01992,-0.0006844,0.32,-0.2928,0.5
0.99579,-0.020113,-0.00067769,0.32,-0.28914,0.5
0.99577,-0.020308,-0.00067085,0.32,-0.28548,0.5
